party,debate_with,version,question_index,repetition,time,answer
CDU/CSU,AfD,0.0,0.0,0,T0,5.0
AfD,CDU/CSU,0.0,0.0,0,T0,2.0
CDU/CSU,AfD,0.0,0.0,1,T0,3.0
AfD,CDU/CSU,0.0,0.0,1,T0,5.0
CDU/CSU,AfD,0.0,0.0,2,T0,5.0
AfD,CDU/CSU,0.0,0.0,2,T0,4.0
CDU/CSU,AfD,0.0,0.0,3,T0,5.0
AfD,CDU/CSU,0.0,0.0,3,T0,5.0
CDU/CSU,AfD,0.0,0.0,4,T0,5.0
AfD,CDU/CSU,0.0,0.0,4,T0,5.0
CDU/CSU,AfD,1.0,0.0,0,T0,5.0
AfD,CDU/CSU,1.0,0.0,0,T0,2.0
CDU/CSU,AfD,1.0,0.0,1,T0,5.0
AfD,CDU/CSU,1.0,0.0,1,T0,2.0
CDU/CSU,AfD,1.0,0.0,2,T0,4.0
AfD,CDU/CSU,1.0,0.0,2,T0,2.0
CDU/CSU,AfD,1.0,0.0,3,T0,5.0
AfD,CDU/CSU,1.0,0.0,3,T0,2.0
CDU/CSU,AfD,1.0,0.0,4,T0,5.0
AfD,CDU/CSU,1.0,0.0,4,T0,5.0
CDU/CSU,AfD,2.0,0.0,0,T0,5.0
AfD,CDU/CSU,2.0,0.0,0,T0,2.0
CDU/CSU,AfD,2.0,0.0,1,T0,3.0
AfD,CDU/CSU,2.0,0.0,1,T0,3.0
CDU/CSU,AfD,2.0,0.0,2,T0,5.0
AfD,CDU/CSU,2.0,0.0,2,T0,3.0
CDU/CSU,AfD,2.0,0.0,3,T0,5.0
AfD,CDU/CSU,2.0,0.0,3,T0,2.0
CDU/CSU,AfD,2.0,0.0,4,T0,4.0
AfD,CDU/CSU,2.0,0.0,4,T0,4.0
Bündnis 90/Die Grünen,AfD,0.0,0.0,0,T0,6.0
AfD,Bündnis 90/Die Grünen,0.0,0.0,0,T0,5.0
Bündnis 90/Die Grünen,AfD,0.0,0.0,1,T0,5.0
AfD,Bündnis 90/Die Grünen,0.0,0.0,1,T0,5.0
Bündnis 90/Die Grünen,AfD,0.0,0.0,2,T0,6.0
AfD,Bündnis 90/Die Grünen,0.0,0.0,2,T0,5.0
Bündnis 90/Die Grünen,AfD,0.0,0.0,3,T0,5.0
AfD,Bündnis 90/Die Grünen,0.0,0.0,3,T0,5.0
Bündnis 90/Die Grünen,AfD,0.0,0.0,4,T0,5.0
AfD,Bündnis 90/Die Grünen,0.0,0.0,4,T0,5.0
Bündnis 90/Die Grünen,AfD,1.0,0.0,0,T0,5.0
AfD,Bündnis 90/Die Grünen,1.0,0.0,0,T0,2.0
